congress,chamber,rollnumber,icpsr,cast_code
115,Senate,7,20713,1
115,Senate,7,20717,1
115,Senate,7,20730,6
115,Senate,7,20735,1
115,Senate,7,20919,6
115,Senate,7,20923,1
115,Senate,7,20930,1
115,Senate,7,21112,6
115,Senate,7,21133,6
115,Senate,7,21166,6
115,Senate,7,21173,6
115,Senate,7,21301,6
115,Senate,7,21325,1
115,Senate,7,21338,6
115,Senate,7,29142,1
115,Senate,7,29147,1
115,Senate,7,29345,6
115,Senate,7,29373,1
115,Senate,7,29386,6
115,Senate,7,29389,1
115,Senate,7,29534,6
115,Senate,7,29548,6
115,Senate,7,29566,6
115,Senate,7,29722,6
115,Senate,7,29732,1
115,Senate,7,29735,6
115,Senate,7,29754,6
115,Senate,7,29909,6
115,Senate,7,29924,1
115,Senate,7,29935,6
115,Senate,7,29940,1
115,Senate,7,39310,1
115,Senate,7,40300,6
115,Senate,7,40304,6
115,Senate,7,40305,6
115,Senate,7,40700,1
115,Senate,7,40701,1
115,Senate,7,40702,1
115,Senate,7,40703,1
115,Senate,7,40704,1
115,Senate,7,40705,6
115,Senate,7,40707,6
115,Senate,7,40902,6
115,Senate,7,40904,1
115,Senate,7,40906,1
115,Senate,7,40908,1
115,Senate,7,40909,1
115,Senate,7,40910,1
115,Senate,7,40915,1
115,Senate,7,40916,1
115,Senate,7,41101,1
115,Senate,7,41102,6
115,Senate,7,41104,6
115,Senate,7,41107,6
115,Senate,7,41110,6
115,Senate,7,41111,6
115,Senate,7,41112,1
115,Senate,7,41300,1
115,Senate,7,41301,1
115,Senate,7,41302,6
115,Senate,7,41303,1
115,Senate,7,41304,6
115,Senate,7,41305,1
115,Senate,7,41308,1
115,Senate,7,41500,6
115,Senate,7,41501,6
115,Senate,7,41502,6
115,Senate,7,41503,6
115,Senate,7,41504,6
115,Senate,7,41505,6
115,Senate,7,41700,1
115,Senate,7,41701,1
115,Senate,7,41702,1
115,Senate,7,41703,6
115,Senate,7,49300,9
115,Senate,7,49308,1
115,Senate,7,49700,9
115,Senate,7,49703,6
115,Senate,7,49706,6
115,Senate,7,94659,6
115,Senate,8,14009,6
115,Senate,8,14226,6
115,Senate,8,14307,1
115,Senate,8,14435,1
115,Senate,8,14503,6
115,Senate,8,14651,1
115,Senate,8,14852,6
115,Senate,8,14858,1
115,Senate,8,14871,1
115,Senate,8,14921,6
115,Senate,8,15015,1
115,Senate,8,15021,1
115,Senate,8,15039,6
115,Senate,8,15408,1
115,Senate,8,15424,6
115,Senate,8,20100,6
115,Senate,8,20101,6
115,Senate,8,20146,6
115,Senate,8,20330,1
115,Senate,8,20707,1
115,Senate,8,20713,1
115,Senate,8,20717,1
115,Senate,8,20730,6
115,Senate,8,20735,1
115,Senate,8,20919,6
115,Senate,8,20923,1
115,Senate,8,20930,1
115,Senate,8,21112,6
115,Senate,8,21133,6
115,Senate,8,21166,6
115,Senate,8,21173,6
115,Senate,8,21301,6
115,Senate,8,21325,1
115,Senate,8,21338,6
115,Senate,8,29142,1
115,Senate,8,29147,1
115,Senate,8,29345,6
115,Senate,8,29373,1
115,Senate,8,29386,6
115,Senate,8,29389,1
115,Senate,8,29534,6
115,Senate,8,29548,6
115,Senate,8,29566,6
115,Senate,8,29722,6
115,Senate,8,29732,1
115,Senate,8,29735,6
115,Senate,8,29754,6
115,Senate,8,29909,6
115,Senate,8,29924,1
